CAMADA: cam_escondida 
Perceptron: 1
Peso [0]: -1.0516947277359032
Peso [0]: -1.0516947277359032
Peso [2]: 2.3521710621198877
Peso [3]: 3.9905020443053294
Peso [4]: -0.47528510727760753
Peso [5]: -3.3757857095792954
Peso [6]: -1.2432037238752711
Peso [7]: -1.3890741934189252
Peso [8]: -1.2690309270488183
Peso [9]: -3.1000081987012624
Peso [10]: 2.3657789528816675
Peso [11]: -1.9905020443053223
Peso [12]: -0.8976834731188219
Peso [13]: -1.809243907670947
Peso [14]: -2.895476387449504
Peso [15]: -3.7626287330182384
Peso [9]: -3.1000081987012624
Peso [17]: 0.47528510727760753
Peso [9]: -3.1000081987012624
Peso [19]: -2.9076902298164535
Peso [20]: -1.2225834277076617
Peso [21]: -1.895476387449508
Peso [22]: -1.7626287330182369
Peso [17]: 0.47528510727760753
Peso [24]: -2.1389454341387477
Peso [25]: 1.3657789528816693
Peso [26]: -3.907690229816457
Peso [27]: -2.2538977215052496
Peso [28]: -0.8954763874495043
Peso [29]: -1.4634162799159014
Peso [30]: 2.4353999609470067
Peso [31]: -2.1398933450318713
Peso [32]: 1.364831041988546
Peso [33]: -4.040272215520467
Peso [34]: -2.1213157358012333
Peso [28]: -0.8954763874495043
Peso [36]: 1.7031584185646942
Peso [37]: 0.8102597851851021
Peso [38]: 1.8808287041435556
Peso [39]: -0.18974021481489278
Peso [40]: 2.5580969217664764
Peso [41]: -1.2538977215052565
Peso [28]: -0.8954763874495043
Peso [43]: 1.895476387449508
Peso [44]: -2.544489031004696
Peso [44]: -2.544489031004696
Peso [46]: -1.434982876608756
Peso [47]: 1.5580969217664826
Peso [48]: -2.2225834277076553
Peso [7]: -1.3890741934189252
Peso [50]: 2.3890741934189172
Peso [9]: -3.1000081987012624
Peso [52]: -2.100008198701264
Peso [53]: -4.10000819870126
Peso [54]: 3.677609832860041
Peso [13]: -1.809243907670947
Peso [56]: 0.858573256150464
Peso [57]: 3.4140924238470403
Peso [58]: 3.5444890310046997
Peso [59]: -1.4752851072776059
Peso [60]: 2.4349828766087596
Peso [61]: 1.8976834731188237
Peso [62]: 0.012462778954459124

Perceptron: 2
Peso [0]: 1.6523205797076952
Peso [1]: -0.34767942029231436
Peso [2]: -1.7430366231652856
Peso [3]: -0.6316323797993165
Peso [4]: -1.2351893062086614
Peso [5]: 1.3316201655427582
Peso [6]: -0.3186767754973294
Peso [7]: 1.6106893848726092
Peso [8]: -1.318015925839821
Peso [9]: 1.5567435684350786
Peso [10]: 0.16030049484442754
Peso [11]: -0.368367620200685
Peso [12]: -0.8314074773942294
Peso [13]: 1.251053089898474
Peso [14]: 0.6942986957626279
Peso [15]: -0.40162523672983963
Peso [9]: 1.5567435684350786
Peso [17]: -0.7648106937913409
Peso [18]: -0.44325643156491806
Peso [19]: -0.33948681700705363
Peso [20]: -0.28488015091201796
Peso [14]: 0.6942986957626279
Peso [15]: -0.40162523672983963
Peso [23]: 0.23518930620866144
Peso [24]: 1.4475995441830625
Peso [25]: -0.8396995051555755
Peso [26]: 1.6605131829929434
Peso [27]: -0.2153328571267109
Peso [14]: 0.6942986957626279
Peso [29]: 0.8131755511265765
Peso [30]: 0.678250872718903
Peso [31]: 1.999805134945327
Peso [32]: 1.7125060856066876
Peso [33]: 0.3108101240330242
Peso [34]: 1.134370201833208
Peso [35]: -0.3057013042373727
Peso [36]: 1.2019316896795063
Peso [37]: 0.07777705467208378
Peso [38]: -0.956478158215703
Peso [39]: 1.077777054672083
Peso [40]: 0.2640701094022932
Peso [41]: 1.7846671428732916
Peso [42]: -1.305701304237371
Peso [43]: -0.6942986957626279
Peso [44]: -0.36073299139257453
Peso [45]: 1.6392670086074208
Peso [46]: -0.285844180028341
Peso [40]: 0.2640701094022932
Peso [20]: -0.28488015091201796
Peso [49]: 0.6106893848726086
Peso [50]: -0.6106893848726086
Peso [51]: 0.5567435684350818
Peso [51]: 0.5567435684350818
Peso [9]: 1.5567435684350786
Peso [54]: 0.8470382603793521
Peso [13]: 1.251053089898474
Peso [56]: -0.8266459340553086
Peso [57]: -0.7441224938829655
Peso [58]: -1.6392670086074208
Peso [4]: -1.2351893062086614
Peso [60]: -1.7141558199716567
Peso [61]: 0.8314074773942294
Peso [62]: -0.054569508493518645

Perceptron: 3
Peso [0]: -0.30872574356894633
Peso [1]: -2.3087257435689468
Peso [2]: -1.6482002143480727
Peso [3]: 0.5731908704369515
Peso [4]: -2.9090050639011844
Peso [5]: -2.2694816264562485
Peso [6]: -2.279841162576193
Peso [7]: -0.48265911385012283
Peso [8]: -1.8001973591383815
Peso [9]: -1.4788665782080113
Peso [10]: 2.003329356130127
Peso [11]: -0.5731908704369515
Peso [12]: -0.4120537692315265
Peso [13]: -1.8950668840162845
Peso [14]: -0.977923265061671
Peso [15]: -1.3049332079268319
Peso [9]: -1.4788665782080113
Peso [17]: 0.9090050639011871
Peso [9]: -1.4788665782080113
Peso [19]: -0.6782060395576442
Peso [20]: -0.20235477176194838
Peso [21]: 0.0220767349383288
Peso [22]: -0.30493320792683565
Peso [17]: 0.9090050639011871
Peso [24]: 0.2979725875665844
Peso [10]: 2.003329356130127
Peso [19]: -0.6782060395576442
Peso [27]: -0.9104896282532097
Peso [21]: 0.0220767349383288
Peso [29]: -1.21472497607802
